,sample_1,sample_3,sample_2,sample_10,sample_9,sample_12,sample_11,sample_6,sample_4,sample_5,sample_7,sample_8
SLC66A1,906,1043,1211,1327,1172,1096,1036,1301,779,844,1386,1165
RTN4R,669,875,1121,1072,698,1204,703,761,730,734,628,442
PHF23,3133,3847,4436,4408,4731,4394,3216,4776,3355,3800,3320,3607
CDH10,885,1586,2309,1262,2418,2773,1066,2032,1615,1984,698,1045
RAB27B,782,1063,1256,1083,1006,1709,781,1015,866,1211,928,770
PSMA4,4966,6538,7493,6319,6699,6267,5036,7026,5055,5899,6662,6465
MYO16,2961,4573,3282,3361,2432,3205,3074,4172,2199,2807,598,669
LSG1,1933,2407,2765,2970,2664,2830,2086,2851,2044,2183,2658,2634
TNC,705,2846,4188,19547,18835,5783,5969,24292,15161,10974,12731,16148
RIPOR3,1,2,5,1,6,5,2,8,5,1,6,27
TDP1,955,1260,1446,1237,1446,1455,984,1290,1105,1172,1328,1617
AIFM2,49,94,113,161,253,179,96,424,128,142,435,368
SPATA7,1131,1358,1442,1403,1118,1377,1204,1181,921,1063,907,747
MED17,1686.23,2105.16,2443.99,2310,2401.44,2026.81,1871,2451.89,1775.73,2058.42,2573.34,2381
RETSAT,1194,1433,1491,1917,1915,1205,1074,2994,1161,1324,1437,1390
CAPG,11,36,61,84,47,12,17,115,41,45,225,249
ZPBP,0,0,0,0,0,0,0,0,0,0,1,0
TG,166,253,415,275,60,263,95,100,276,208,358,187
ADAM28,6,8,12,8,12,25,12,13,14,12,19,14
BARX2,2,17,7,39,43,15,23,61,27,13,112,304
DCUN1D1,2299,2733,2382,2362,2944,2762,2318,3337,2392,2663,2812,2605
ZIC2,139,373,292,670,7991,592,732,5269,932,1521,1064,2912
TRIT1,934,1121,1529,1277,1248,1455,1017,1278,983,1054,1357,1247
ADRB1,10,21,26,36,28,53,17,36,40,30,73,38
GUCA2B,0,0,0,0,0,0,0,0,0,0,2,1
CTNNA1,15356,18360,15665,20872.99,44718.96,11996.99,16100,48558,13794,14841,23631.99,28595
PHKA2,523,633,793,789,1057,1007,583,1005,572,681,941,893
CNTLN,525,531,536,798,1139,515,672,927,531,578,1073,1431
EPHA3,2666,2758,2867,2829,10363,3765,2659,8173,3872,3483,3667,7748
GPM6B,5458,6384,7898,5800,20108,10513,5702,12595,8244,8529,3511,7360
MAGEC2,0,0,0,0,0,1,0,0,1,0,0,2
PREX2,233,414,483,687,753,752,495,371,690,721,378,690
YTHDC2,2746,3072,3509,3339,3272,3833,2957,3454,2551,2874,3570,3354
CTPS2,4262,5268,5036,4946,3910,4586,4174,4414,3529,3730,4465,3813
ATP6V1H,6162,7191,8378,8074,4636,7313,5462,6244,5019,5460,5627,3859
TPR,6885,8715,9222,9359,11803,9954,7363,11643,7672,8265,11687,13274
CP,0,1,3,7,1,3,4,5,9,8,8,10
XK,1560,1803,1675,2273,1138,1742,1583,1795,1563,1265,1191,778
C12orf4,1930,2225,2414,2363,1893,2122,1897,2360,1815,1851,2219,2012
SCML1,454,496,500,607,788,904,500,699,652,701,741,820
ARHGAP6,24,35,81,192,254,179,114,180,196,122,234,393
FAM184B,325,333,473,395,145,472,356,162.06,320,226,323,441
GOPC,1991,2362,2410,2499,2577,3046,2063,2700,2165,2374,5416,4881
USP28,395,510,650,880,1707,892,513,1500,761,670,1421,2154
TSPAN17,5165,6118,7250,7351,4546,6507,5066,5993,4651,5067,5791,3896
TNFRSF17,0,0,1,0,1,2,2,0,0,0,2,1
SNX29,2390,3039,3067,3410,2588,2858.98,2607.98,3092.94,2262,2543.99,2825.99,2362.95
MRPS10,2024.89,2292.92,2698.86,2581.78,2217.96,2550.92,2106.95,2532.68,2010.97,2009,2933.95,2264.99
VPS13D,2450,3294,3500,4007,3619,3889,2959,4107,2811,2928,4802,4207
FAM120A,1560.97,2163.06,2334.74,3238.06,4166.72,2838.68,1996.2,4804.7,2873.28,3087.92,3221.25,3197.78
COL9A2,113,144,296,339,3085,309,221,2363,296,305,710,2208
KITLG,3977,5524,5980,2348,5297,3215,3102,5569,2444,2714,6366,3934
ADAMTS6,13,32,45,211,187,62,55,193,164,128,273,340
VAMP3,665,940,948,1589,2740,1096,857,3452,1451,1393,2986,3081
LTBP1,116,592,727,5337,8511,863,1286,8123,4418,3298,8857,13146
RFC2,816,988,1120,1089,1273,978,877,990,838,911,1562,2362
CLPTM1L,2558,3333,4374,4929,4973,4828,3138,5352,3408,3775,4126,4012
PPP1R3F,1274,1519,1998,1622,1280,1957,1215,1173,1098,1275,1229,847
HEXB,735,919,1203,1410,1867,1230,914,2520,1080,1067,3509,3352
PTCD2,962,1149,1245,1354,1065,1191,1064,1325,885,977,1109,974
JKAMP,2046,2528,2519,2650,3334,2561,1943,3677,2016,2293,2649,2227
ARHGEF5,20.57,43.97,59.2,82.71,71.92,46.48,74.78,34.23,107.94,50.19,122.77,87.04
NFE2L3,424,499,872,559,546,701,387,834.99,554,594,713.99,773
LETMD1,2638,2978,3394,3430,2381,2802,2699,2514,1774,1914,2725,2200
SLC4A8,10412,13719,15822.84,11887,9415,16251.88,10124,11547.05,10988,12086,9148,7751
TNIP3,21,39,63,40,32,96,27,33,35,44,21,16
BCAR1,2681,3318,4119,4185.46,4493,4094.15,2724,4729,3184,3480,5125,5360
HERPUD1,8028,7661,10019,9416,5908,6916,9404,4912,4158,4028,10797,8364
HOMER3,1017.24,1300.7,1304.35,1395,1327.65,1042.03,997.73,1123,1024,968,1004.35,1014
RAD51,18,34,29,67,238,43,64,92,115,76,298,729
HEBP2,3310,3536,3099,3895,1986,2014,3034,2861,1942,2115,2867,1564
MPHOSPH9,486,605.2,629.56,749,1271.5,759,627,1052.97,699,731.01,1213.33,1464
PRSS8,15,43,44,29,35,7,33,28,42,24,25,9
FNIP2,8316,9702,11536,8684,6396,12283,8361,7136,6817,7722,8762,7461
MSMO1,7497,9895,13807,13740,11151,16857,7946,10434,12818,13187,5208,3365
TTC17,5376,6575,6419,6360,7137,6769,5739,7362,4139,4994,7773,7408
ALX4,1,20,8,112,465,145,156,76,88,267,79,295
FSTL4,837,1158,1893,1412,1126,3521,1180,1116,1130,1451,2019,1352
MRTO4,1328,1575,2179,1967,1962,1771,1412,1872.99,1386,1600,2028,1865.99
NNAT,0,1,0,2,0,1,0,2,0,0,7901,14660
NRIP2,3,6,8,25,134,15,15,226,19,15,43,81
AP5M1,3974,4599,4258,4317,4360,4584,3881,5371,3831,4275,4429,3567
TRAPPC3,2481,3016,3687,3280,3294,3296,2320,3647,2318,2530,3154,2735
THRAP3,7764,10185,10607,10711,12656,12903,8198,12560,8789,9747,10392,10921
ENTPD2,9,28,28,36,31,31,12,32,19,33,12,16
LY75,3,6,16,9,11,7,7,27,13,6,13,22.91
ARID4B,2940.21,3871.05,3478.12,3204,4460,3829.13,3049.58,5133.93,3084,3513.22,4396.36,4891.68
OPN3,244.13,310.72,257.55,561.87,934.07,346.8,396.58,873.7,438.16,395.08,786.79,910.6
SDCCAG8,2257,2530,2391,2298,1582,1909,2118,1919,1494,1753,2100,1532
PTPRN,7391,8887,12740,10385,7516,15796,7459,6170,6303,7920,10040,6156
HHAT,763,799,835,1331,811,668,755,1294,806,602,1679,1053
FOXC1,10,117,121,1260,1482,390,518,1055,1076,1217,1888,2301
TBC1D22A,1115,1457,1444,1408,1291,1284,1142,1498,1080,1151,1177,882
PLEKHH1,1158,1283,1387.99,1220.03,1610,1632,1042,1693,954,1139,1057,1224
ATP9A,37768,45898,61028,52335,30420,71437,37797,34863,40003,44625,38365,25760
SPO11,0,0,0,0,0,0,0,1,0,0,1,0
CBLN4,0,0,0,0,0,0,0,0,0,0,44,49
RELT,608,660,914,721,873,881,558,623,499,626,795,787
GALC,2814,3329,2776,3050,1989,2267,2897,2559,1877,2063,3221,2317
NOP58,1823,2401,2866,2538,3096,2878,2033,2830,2204,2425,2840,3684
SZRD1,3839,4722,6205,6331,9044,5804,4069,9421,5408,5655,7739,8973
FAM114A2,1120,1298,1315,1330,1772,1190,1132,2041,1074,1206,1634,1580
CYFIP2,18164,21948,24708,25117,17524,25443,19105,23649,16788,19287,26588,15166
TAB2,4094,5216,4966,5344,7443,5375,4312,8947,4560,4707,5769,6277
GINM1,581,767,952,1162,2453,1093,775,2986,1002,1055,2235,2265
MCOLN3,9,16,25,28,33,21,19,104,9,15,143,105
CCDC85A,185.1,246.34,260.46,498.43,239.5,341.95,173,463.96,229.5,283.9,64,38.18
ITIH4,45.49,58.46,64.09,55.41,62.65,76.86,57.03,56.28,49.46,49.86,68.01,81.96
ITIH1,0,0,0,3,2,0,0,0,2,2,0,0
HPF1,1017.94,1151.97,1349.96,1176,1216.99,1168.99,1008,1229.99,906.99,1042.99,1289.98,1287
ZFR,11034,13365,13394,12121,12458,14568,11307,14070,9915,11605,14635,12639
ZNF280C,379,442,449,510,735,563,457,763,502,527,592,833
PHF21B,1927,2800,3599,1637,3479,3513,1786,2500,2760,3424,1935,1784
TRAF1,79,93,111,122,62,107,78,73,64,66,175,74
RC3H2,7624,9392,9809,10645,9052,11485,8527,11811,8745,9166,11258,10116
IL17RB,5,8,18,15,55,23,12,39,22,12,30,60
TRAF3IP2,24,54,78,136,193,70,51,279,112,113,300,208
GYG2,9741.95,10520,8152,7982,8118,6279,8982.99,11921,4885,5030,5067,5096
DCBLD2,10993,13475,14708,15544,13712,16179,12160,15900,14927,14262,19479,11979
SERPINB3,0,0,0,0,2,0,0,0,0,0,2,0
SOAT1,900,1149,1294,1462,1411,1478,1085,1298,1283,1204,2347,2271
MSH4,18,22,25,17,17,27,17,31,10,14,32,18
GDI2,22615.53,27946.98,29919.09,30302.67,24045.65,27921.18,23743.35,27515.7,22011.43,23920.68,22649.18,22307.51
PRDM1,12,30,33,45,170,28,29,290,82,70,73,71
ATG5,1142,1414,1541,1473,1422,1529,1155,1600,1130,1092,1586,1461
TMCC3,944,931,1707,1300,1151,3068,869,1384,1380,1436,1024,1216
PITHD1,5334,6292,7212,6389,4875,7496,5265,4973,4276,4951,6097,5109
ATP11B,1526,1903,1866,2782,4131,2288,2020,4278,2280,2296,4261,5069
LAMC2,122,395,516,289,127,201,120,407,184,138,705,281
CDK14,2853.53,3366,2555,3645.1,5104,2431,3550,7002.48,2771,2593,4497,4345
SEC61A1,11871,14452,16519,22938,21024,14263,13612,25749.97,15473,16383,22223,20446
PPP1R12A,3514,4639,4723,4907,5927,5643,4159,6125,4363,4780,5969,6434
CAMK2B,3848,5076,7045,5074,3486,8314,3504,3081,3621,4642,3510,2235
CROCC,692.5,754.6,895.1,943.38,1462.91,1209.65,642.83,1153.22,723.26,795.75,1101.09,1229.91
POLR3E,1710,1970,2204,1992,2171,2222,1742,2151,1407,1535,2095,2026
RIOK2,1641,1829,1853,1932,2022,1740,1627,2137,1579,1616,1971,1795
YIPF1,2126,2673,2743,2742,1889,2140,2043,2486,1742,1985,2413,1849
NDC1,1099,1276,1366,1437,2128,1431,1163,1733,1387,1385,1554,2065
DGKG,49,50,93,75,58,114,27,61,58,73,113,98
ALDH18A1,2358,2826,3329,4365,5598,3317,2772,5163,3724,3808,3605,3953
TARBP1,426,587,967,814,1742,1872,566,1617,846,856,1434,1294
GATB,1138,1345,1544,1391,1155,1280,1141,1319,927,1073,998,861
MXD1,2267,2713,3215,2834,2119,4175,2449,2153,2415,2562,3641,2687
CDK17,4470,5705,5281,4917,6415,6342,4408,7147,4776,5832,4358,4136
DNAJC25,535.12,682.16,707.72,635.76,788.97,768.86,542.62,968,532.95,641.5,913,875.02
SLC2A3,7706.87,9992.95,12677.89,12142.94,6814.81,13780.78,8326.64,11706.89,8947.83,9000.16,9201.51,7298.12
PSD,4611,5546,7696,6884,3129,8677,4471,3333,4249,4887,3884,2303
YBX3,270,704,902.99,2277.79,3429.99,968.99,811,5100.68,1920,1784.99,4010,3341.36
STYK1,49,62,181,130,35,359,76,55,84,95,192,120
CCAR1,4204,5161,5603,5210,6426,5723,4314,6908,4367,5133,5543,5841
GNA15,1,2,1,4,0,1,1,1,0,0,4,3
CREB3L3,13,10,6,17,8,16,7,16,13,7,5,4
PTPRU,2636,3360,3729,3991,6018,4242,2610,8109,2521,2943,2773,3383
SNRNP40,1344,1557,1867,1688,2068,1626,1273,1677,1323,1449.99,1748,1961
COL11A1,514,2584,3438,28735,37282,5915,4832,41912,24918,25316,32411,30904
MPC1,861,999,1221,1052,1209,1377,764,1307,948,1019,1438,1409
BCAT1,16346,17011,15738,16959,13994,13801,20228,13018,11799,11360,28570,21863
HDAC7,939,1337,1792,2505,3407,2648,1319,3699,1895,1870,3186,3006
LZTS1,7357,9478,8759,8859,7266,6986,7237,13831,6299,6755,6514,6144
PRDM6,47,192,105,157,358,202,240,115,104,219,275,376
WNT8A,1,0,1,1,2,4,1,3,3,0,1,0
NCKAP1,11713,13748,16609,15666.04,16211,18165,11703,18162.08,12852,14546,20908,17046
MRPS35,2771,3282,3590,3432,2884,3728,3005,3106,2468,2824,3321,2702
MON2,2029,2470,2664,2987,3809,3168,2205,4496,2583,2755,3739,3536
ARSF,8,14,6,20,2,9,10,0,6,4,0,2
GPBP1,5749,7052,7969,6566,7623,8048,5684,8095,5916,6835,6368,6862
DGAT2,624,730,1129,917,488,915,594,508,541,562,701,565
CS,15410.04,18784.28,20269.1,20902.6,16024.51,20108.63,15595.83,17635.81,14662.25,15637.76,15211.66,13221.78
LTK,25,30,33,74,93,32,28,289,45,42,80,57
MRPS24,1163.24,1475,1847.74,1646.08,1410.69,1593.39,1118.81,1401.12,1127.4,1183.95,1468.51,1233.74
ELMO2,3798,4677,5308,5016,4484,5115,3672,5039,3436,3805,4723,3963
VMP1,3326,4401,4908,5671,7413,4606,3535,12689,4830,5047,7051,6634
APPBP2,5411,6577,6664,6284,7990,7280,5288,9635,5574,6295,6436,6484
SLC6A16,17,11,8,27,82,16,19,62,22,34,63,126
SPHK2,2190,2528,2663,2946,2037,2095,1999,2368,1783,1947,1850,1301
RPL18,12095,14655.96,17864.99,19276.8,18635.98,16782.97,12888.94,17699.85,12323.96,13251.97,14731,14018.95
CA11,2517,3425,3600,2411,3160,3460,2286,3505,2099,2502,1350,1382
ISOC2,397,473,721,1007,1061,651,525,1021,593,655,584,539
MED29,3404,4183,4671,3822,4174.78,4411,3337,4546,2921,3341,4635,5183
MTMR1,2039,2297,2642,2680,2599,2827,2353,2659,2076,2287,2924,2641
GPC1,5230,6668,8265,12128,8642,9007,5723,10200,7476,8039,7510,5914
ADCK1,412,524,620,554,589,624,400,556,370,395,414,342
HAGH,3033,3768,4230,4002,3061,3559,2804,3381,2394,2815,2949,2188
RNF4,2541,3361,3782,3858,4584,3780,2980,4811,3200,3376.98,4842,5864
LIMCH1,3266,5145,5475,3874,5812,7129,3855,4701,4394,5486,6343,8560
INTS13,941,1208,1454,1502,1450,1597,1110,1474,1171,1330,1436,1550
TM7SF3,2000,2494.37,3099,2797,3666,2911,1893,4837,2226,2405,3104,2495
DLX3,6,5,17,20,54,24,14,38,20,21,18,38
DMRT3,973,1320,1866,916,308,1986,810,165,1096,1887,424,304
NGFR,44525,54819,51113,77239,30581,39043,46893,41560,40139,45723,40722,18367
HIPK2,11623,15568,17675,15429,17573,19965,14007,17651,15010,16910,18733,19247
BORCS8-MEF2B,39.49,54.32,18.36,41.61,101.7,38.16,20.43,119.19,26.64,50.52,43.54,98.57
RFXANK,679,977,1035,1236,1350,844,724,1385,878,800,961,1288
TMEM161A,172,239,320,354,516,298,212,529,252,263,351,381
LPAR2,1385,1755,2014,2149,2246,2820,1639,1978,1617,1678,934,836
SUGP2,9904,12260,14515,14322,13972,16791,10173,14509,10955,12202,14082,13138
SLC12A2,1523,1804,2099,2309,2694,2931,1723,3176,2528,2300,3073,3813
SNX24,953,1223,1040,1117,1264,906,1157,1449,771,888,1354,1070
EYA2,21,70,24,74,75,34,42,22,52,36,99,186
CNN2,2332,3968,6110,10719,16974,7578,4141.22,15735.97,10791,9182,9695,17817
BTBD1,5566,6733,7475,6163,6810,7993,5426,7940,5978,6847,7764,6792
CHI3L2,0,1,0,0,0,3,0,3,1,0,0,0
SBNO2,843,1179,1419,1833,1197,1165,870,1722,1129,1081,1869,1311
HMG20B,737,1021,1049,1656,2870,1084,1104,2382,1360,1287,1536,2013
CALCRL,125,318,284,325,1131,429,328,532,354,404,760,682
ANKS1A,4931,6460,7200,8247,6160,7756,5287,7410,6458,6594,5175,4435
ZNF76,996,1201,1505,1156,1659,1373,963,1701,996,1089,1294,1429
SLC9A3R2,1195,1472,1970,2268,1713,2209,1296,1752,1630,1931,1945,1337
NTHL1,488,546,711,653,568,669,421,520,420,489,487,396
IPO5,9959,11524.37,14327,13894.63,14926.72,13680,10528,14324,10931,11284,14176,15083
WDR3,2346,2650,3261,3123,3063,3122,2234,3277,2367,2787,3006,2805
PKN2,795,1029,1095,1309,2820,1397,1140,2901,1376,1384,2220,3014
TRAM2,306,633,855,2600,4638,1311,966,5485,2100,2229,6990,5705
NTN1,417,539,795,648,1420,956,486,746,885,798,725,1212
GLP2R,0,1,1,1,19,0,1,54,1,6,19,19
DGKA,661,894,971,1436,1072,751,710,1836,845,940,1642,1223
ANKRD44,1154,1289,1654,1224,1393,2183,1158,1397,1196,1291,1307,1285
PDIA5,145,259,341,1263,1344,389,368,1224,877,899,828,615
TBC1D22B,1512,1858,2037,1952,1686,2127,1448,2002,1233,1457,2261,1717
NDUFB4,2915.51,3683.49,4170.92,3921.13,3805.89,3795.53,2829.74,4102.25,2874.77,3221.77,2862.73,2648
ZC3H15,4948,6184,6746,6109,5880,6885,5179,6269,4716,5428,5458,5069
MAP2K4,6355.85,7642.84,8882.87,8170.91,8402.88,9984.75,6469.93,9580.74,6061.92,7222.92,7852.87,6905.94
SLK,3491,4267,4036,4168,4853,4669,3798,5978,3490,3970,5321,5046
CYB5R4,1862,2223,2049,1938,1461,1830,1761,2079,1503,1692,1706,1260
COL17A1,117,223,264,171,96,132,118,317,126,149,35,31
GSTO2,171,176,163,132,70,95,180,80,64,80,155,90
SEC61A2,2738,3388,5014,3893,3492,5735,2477,3354,3371,3953,3863,2944
TLE2,136,129,270,289,228,353,158,88,247,261,133,121
ASB1,2524,3083,3465,4410,3271,3614,2815,4070,2893,3055,3838,3100
ME1,1535,1687,2001,2491,1118,2138,1483,1880,1498,1780,2820,1580
SLC9A7,4234,5251,7308,6629,4341,9838,4438,4846,4637,5735,6852,3807
FOXJ2,1565,2002,2161,2047,2134,2378,1734,1989,1635,1673,2484,2278
YBX1,45684.67,59819.86,64178.49,58694.56,51631.49,68716,46502.91,50438.89,50361.57,57700.91,53151.8,60293.58
PDE4A,722,965,1235,1075,1220,1496,765,1685,926,1066,597,903
PPP2R5A,70,92,169,252,782,228,124,772,238,244,477,736
ELAVL1,6117,7763,9074,7956,10642,9775,6620,9961,7404,8023,7754,8823
TIE1,5,1,8,15,59,8,18,4,32,13,4,21
DIP2B,5068,6442,7859,7719,6994,9344,5979,7409,6247,6845,7707,7063
SMARCD1,8284,9886,10456,8937,9209,9439,8324,8407,6634,7264,8207,8624
KDM4A,7587,8642,9800,9302,7748,8404,7563,7925,6155,6618.41,9941.47,9280
ZMYND12,24,25,28,25,30,16,27,31,17,19,16,15
SLC9A3,237.73,328.54,395.05,384.35,404.45,302.74,265.82,437.46,303.08,271.16,382.45,399.93
NGEF,137,208,1007,396,551,2525,201,530,489,632,889,613
ELOVL1,247,423,510,977,1017,637,379,1060,746,678,823,717
POLR1H,286,338,413,487,468,396,304,424,309,286,337,291
CLDN18,0,0,1,1,3,0,0,3,0,0,4,4
GOLGA5,2095,2564,2625,2970,2969,2691,2336,3336,2167,2324,2673,2415
LRRC40,4310,5157,4525,4471,3488,4840,4173,4068,3692,4328,4552,4112
ISOC1,977,1244,1464,1151,1117,1778,922,1126,959,1317,878,945
TRMT11,592,763,805,859,852,885,657,930,680,635,898,848
THUMPD1,3039,3596,3405,3541,3922,3310,3207,3958,2746,3074,3733,3222
ATG2B,3150,3812,3951,4242,4226,4357,3297,4843,3267,3409,5000,4327
ARFGEF1,6827,8295,9809,9136,7142,10632,7082,8508,7131,7796,7891,5758
ACSM2B,1,1,2,0,2,0,1,2,1,0,12.13,10.61
ZFAT,442,543,577,593,598,618,468,658,493,518,560,558
MTFR1,670,769,977,1095,1199,1139,836,1102,958,920,829,850
MYO9A,7795,9368,9085,10900,6359,9103,8663,8806,7351,7637,9047,5970
DDX3Y,0,0,0,0,0,0,0,0,0,0,0,0
SP100,177,284,263.44,354.24,342.36,353.27,438,275,249,244.01,507,441.01
KLF6,8071,8486,12936,9763,7116,13333,7749,6576,9825,9604,9256,7134
PLPP1,1156,1531,1627,2101,1218,1468,1301,1439,1297,1276,1368,894
NEO1,11125,14945,16174,20069,20515,16868,15582,23405,13674,15226,16500,18631
TRAM1,1317,1806,1639,3919,9316,2528,3090,12342,3847,4185,5223,7586
PHKA1,2490.02,2927.96,3039.68,3492.43,1818.34,2721.24,2653.54,2009.69,2107.84,2227.58,2098.6,1294.34
CACNB1,4753,5784,6980,6559,4087,7273,4746,4234,4491,5350,3564,2433
STOML1,1357,1590,2448,1966,1105,2068,1318,1238,1114,1322,1474,1061
DNTTIP2,3030,3745,4112,3918,3541,3935,3107,3977,2990,3410,3669,3390
RRP15,1227,1426,1353,1397,1723,1850,1373,1655,1343,1513,1741,1591
DHX8,2947,3720,3876,4195,3759,3554,3059,4725,2943,3033,4331,4362
PRKCZ,3718,4475,4919,4605,2908,4724,3763,3611,3179,3649,2177,1711
ZFY,0,0,2,1,0,0,2,0,0,1,0,0
IARS2,4908,5922,6767,7061,6333,6068,4938,7126,4695,5206,6572,5448
SYT1,19395,23276,30867,20138,14799,37818,17895,17871,19443,23262,18043,13462
NAV3,9169,11131,11397,9372,8870,10357,9349,9779,7297,8123,7730,7244
ROCK1,1647.49,2024.58,1823.67,2358.77,3242.97,2261.44,1996,3162.82,2296.04,2271.63,3380.17,3713.1
CBFB,22608,26947,18552,31304,17896,17837.97,26110,33313,21354,22658,22035,12293
HYAL2,1176,1528,1790,1953,2810,1440.95,1200,2886,1544,1609,1637,2063
COASY,1570,1850,2391,2547,2494,2309,1671,2584,1571,1742,2428,2087
PLEKHH3,1225,1442,1948,1547,1479,1966,1142,1368,1060,1161,1417,1238
TFE3,4612,5899,7000,6857,6879,7424,4609,7361,4901,5680,4582,3498
TBC1D25,1793.16,2247.98,2450.79,2540.71,1436.3,2409.48,1793.3,1766.67,1651.15,1756.05,1726.04,1149.61
INPP5A,2607,3271,3971,3948,3159,3826,2696,3383,2784,3168,3693,3076
GPKOW,1210,1375,1533,1421,1214,1378,1109,1295,892,1070,1199,996
GRIPAP1,8354,9881,10491,9706,8481,10912,8075,8994,6910,7971.04,5551,4263
FTSJ1,1716,2270,2779,2853,2284,2736,1810,2274,2013,2210,1886,1628
LAPTM4A,4476,5822,5729,8737,9617,5616,5920,10545,6472,6482,9090,9295
TTC7A,384,515,673,599,1250,799,443,1549,496,632,680,994
IP6K2,6849,8791,9507,7990,8364,9212,6393,8614,6446,7349,5936,5877
STON1-GTF2A1L,1,9.41,16.84,13.81,42.43,10.13,5.16,59.45,11.52,0,29.93,54.22
SRBD1,973,1067,1252,1214,1596,1340,1009,1636,1096,1116,937,1274
RASGRP2,439,469,808,505,390,825,305,355,416,528,432,348
PSME4,2773,3596,4607,4832,4732,5177,3112,6091,4334,4595,5598,6362
IFT80,1596,1876,1810,1926.86,3216.24,1995.19,1515.76,3400.22,1501.93,1703.43,2528.72,2802.82
PPP2R5B,5662,6822,7451,8569,3783,6797,5613,4825,4173,4444,4683,2705
PYGM,408,501,418,607,1050,336,460.05,556,330,357,104,413
PAGE1,0,0,0,0,0,0,0,0,0,0,0,0
PITX1,0,1,0,4,7,1,1,2,3,5,4,9
ADGRF5,3,15,14,39,62,35,16,96,31,24.86,285.99,534
SDK2,1204,1695,2591,3568,15503,4036,1891,11570,2687,3612,2246,4615
ADAM7,0,2,1,4,1,1,0,1,3,0,3,5
NUP133,4055,4965,5398,5314,4782,4820,4218,5561,3737,4125,4615,4513
NUCKS1,20072,25342,27963,27301,39459,32998,23908,35792,26110,28666,26134,31579
VPS35,14988.99,17746.95,20080.76,19296.91,14849.88,18732.89,14698.97,16476.91,13367.89,14561.92,18594.84,15987.99
DNAJA2,6962,8283,8755,7694,7067,8734,6696,7711,5750,6617,7153,6473
BCL3,188,239,231,296,161,199,199,224,194,218,193,112
GAL,34,34,91,125,109,149,32,102,98,76,127,80
CLEC2D,208.08,208.63,211.95,221.44,345.49,216.7,265.22,283.29,165.45,183.53,242.7,279.27
FUNDC1,787,982,1066,906,996.98,989,726,1071.99,648,812,808.96,720
MAOB,52.38,79,200,189,346,280,68,787,196.7,145,231,727
RORA,735,870,899,794,847,1299,839,1112,1057,991,1003,1045
DRD4,23,22,21,24,17,14,19,11,13,11,29,21
TGFBR3,49,72,76,265,2202,229,535,1295,381,221,219,686
HES2,125,228,256,221,149,99,96,235,182,218,207,106
ATP1B3,4745,5822,8260,6402,8135,8488,4897,8550,5306,5851,9784,11167
PIGB,85,82,122,125,127,152,69,171,105,100,109,87
RAB27A,69.23,113.13,118.09,209.08,349.08,170,149,271.52,210,209,353.34,323.6
HDHD5,1796,2056,2910,2283,1754,2353,1611,1623,1642,1779,1580,1331
UFD1,1540,2081,2385,2627.86,2786,2421,1630,2721,2038,2144,2988.02,3006
LRP6,1811,2538,2957,3808,5880,3375,2988,7324,3170,3382,4525,6125
GUCY2C,2,1,1,3,5,4,1,7,3,2,8,11
SCT,0,1,0,0,0,0,0,0,1,0,1,0
PTPN3,1428,1833,1306,1869,715,804,1352,1453,954,813,1270,830
SPTB,960,1043,783,2009,704,782,1155,1358,590,693,1230,807
DAPP1,2,5,8,12,82,2,3,96,8,12,11,36
SLC44A1,440,605,683,767,2615,721,617,2529,842,813,1454,2266
TMEM260,1354,1586,1642,1649,1900,1658,1473,2097,1451,1544,1906,1631
SMG6,3568,4243,4315,4494,4554,4255,3844,5065,3299,3531,5283,4925
EXOC5,6634.05,8217.25,8115.94,7863.69,8676.26,9989.77,7118.3,9683.16,8156.42,8663.16,8081.29,7292.58
CLTCL1,445,514,663,740,601,633,445,703,422,451,1186,932
FSTL3,901,1079,1182,1414,959,985,995,1108,877,915,1159,657
DGCR2,6257,7808,9144,8499,8504,8409,6105,9239,6045,7198,7228,6834
RNF126,1233,1644.98,2189,1883,1783,2260,1270,1772,1482,1642,1651,1552
MNT,4009,5054,5701,5076,4454,6261,4107,4553.99,3583,4136,4331,3574
ZXDC,974,1222,1538,1488,1368,1587,1144,1369,1102,1207,1655,1487
POLB,2198,2445,2882,2378,1807,2495,2000,1914,1596,1819,2040,1713
ST6GALNAC1,3,4,2,0,2,0,1,3,1,2,2,0
WIPI1,934,1148,1125,2137,2752,1036,1514,3295,1516,1634,1913,1765
FRMPD1,487,775,1016,2700,427,900,567,561,1329,1321,915,250
GBA2,4506,5348,6531,6750,5292,7272,4492,5912,4419,4758,5182,4036
NDST1,9488,12437,13687,17384,13942,12853,10818,16667,12182,12835,12540,12250
ASNS,23185.98,21744.13,27112,18413.33,9827.7,15835.68,21627.26,7044.77,7749.1,8189.88,28883.86,22932.09
AP3M2,2303,2888,3853,3678,2970,3795,2583,2675,2359,2638,3777,2789
CNGB1,1142,1380,892,1066,450,762,973,516.03,397,552,276,148
ST6GALNAC2,4.51,8.58,6.69,14.48,186.11,2.83,13.49,114.11,16.97,7.91,53.51,112.6
TESK2,45,53,64,66,169,49,56,150,59,30,63,126
CFAP20,2578,3166,3469,3002,3344,3549,2708,3223,2466,2847,2751,3080
PTPN21,701,841,959,1504,2006,1247,1013,1889,1204,1231,2629,2772
EIF2B3,1335,1635,1986,1896,1279,1710,1250,1565,1304,1464,1291,1094
